iter	Passed	Remaining
0	109	109419
1	110	55072
2	111	36941
3	112	27889
4	112	22477
5	114	18912
6	114	16313
7	115	14347
8	116	12820
9	117	11599
10	117	10600
11	118	9767
12	119	9074
13	120	8471
14	121	7947
15	121	7494
16	122	7097
17	123	6741
18	124	6424
19	125	6135
20	125	5871
21	126	5633
22	127	5417
23	128	5230
24	129	5056
25	130	4889
26	131	4733
27	132	4585
28	132	4447
29	133	4318
30	134	4198
31	135	4085
32	136	3985
33	136	3888
34	137	3797
35	138	3706
36	139	3620
37	139	3539
38	140	3461
39	141	3387
40	141	3317
41	142	3254
42	143	3193
43	144	3134
44	145	3077
45	145	3023
46	146	2970
47	147	2921
48	148	2873
49	148	2827
50	149	2785
51	150	2742
52	151	2700
53	152	2667
54	153	2629
55	153	2591
56	154	2554
57	155	2519
58	155	2484
59	156	2450
60	157	2419
61	157	2387
62	158	2357
63	159	2328
64	159	2300
65	160	2273
66	161	2246
67	161	2216
68	162	2191
69	163	2167
70	163	2145
71	164	2123
72	165	2101
73	166	2080
74	167	2060
75	167	2040
76	168	2021
77	169	2001
78	170	1982
79	170	1962
80	171	1944
81	172	1925
82	172	1908
83	173	1893
84	174	1873
85	174	1857
86	175	1838
87	175	1822
88	176	1806
89	177	1791
90	177	1776
91	178	1762
92	179	1748
93	180	1734
94	180	1721
95	181	1710
96	182	1697
97	183	1684
98	183	1671
99	184	1658
100	184	1646
101	185	1631
102	185	1619
103	186	1607
104	187	1596
105	187	1585
106	188	1574
107	189	1563
108	190	1553
109	190	1543
110	191	1533
111	192	1523
112	192	1514
113	193	1504
114	194	1494
115	194	1483
116	195	1474
117	196	1465
118	196	1455
119	197	1447
120	198	1438
121	198	1430
122	199	1419
123	199	1411
124	200	1403
125	201	1395
126	201	1387
127	202	1378
128	203	1370
129	203	1363
130	204	1356
131	205	1348
132	206	1342
133	206	1337
134	207	1330
135	208	1324
136	209	1317
137	209	1310
138	210	1304
139	211	1297
140	211	1291
141	212	1284
142	213	1278
143	214	1273
144	214	1267
145	215	1261
146	216	1255
147	217	1249
148	217	1244
149	218	1239
150	219	1233
151	220	1229
152	221	1224
153	221	1219
154	222	1214
155	223	1209
156	224	1203
157	224	1198
158	225	1193
159	226	1187
160	226	1182
161	227	1177
162	228	1172
163	228	1166
164	229	1162
165	230	1157
166	231	1152
167	231	1147
168	232	1143
169	233	1138
170	234	1134
171	234	1130
172	235	1126
173	236	1121
174	236	1117
175	237	1113
176	238	1109
177	239	1104
178	239	1100
179	240	1095
180	240	1090
181	241	1085
182	242	1081
183	242	1077
184	243	1073
185	244	1069
186	244	1064
187	245	1060
188	246	1056
189	246	1052
190	247	1049
191	248	1045
192	249	1042
193	250	1039
194	250	1035
195	251	1031
196	252	1027
197	252	1024
198	253	1020
199	254	1017
200	255	1014
201	255	1010
202	256	1007
203	257	1004
204	258	1001
205	259	998
206	259	995
207	260	992
208	261	989
209	262	986
210	263	983
211	263	980
212	264	978
213	265	975
214	266	972
215	266	969
216	267	966
217	268	963
218	269	960
219	270	957
220	270	954
221	271	951
222	272	948
223	273	945
224	273	943
225	274	940
226	275	937
227	276	935
228	276	932
229	277	929
230	278	927
231	279	924
232	280	921
233	280	919
234	281	916
235	283	916
236	283	913
237	284	911
